epoch,acc,loss,val_acc,val_loss
0,0.80700000000000005,0.61080065051093702,0.96999999999999997,0.13757009709806881
1,0.88649999999999995,0.34970997187891045,0.98624999999999996,0.086688484351907388
2,0.89160839160839156,0.31375844562733241,0.94499999999999995,0.16935922355332877
3,0.90249999999999997,0.28360128121217715,0.82360248447204965,0.51290494969341704
4,0.92649999999999999,0.21088808412547222,0.99250000000000005,0.057814708575097032
5,0.92757242757242753,0.18203424097650073,0.99250000000000005,0.04753202477620562
6,0.92849999999999999,0.18007972043531481,0.92749999999999999,0.30643356789556647
7,0.95050000000000001,0.13389887470882969,0.94782608695652171,0.14455899220429161
8,0.94355644355644352,0.15618180864848538,0.98624999999999996,0.032217762065728371
9,0.95150000000000001,0.13281006887031255,0.98499999999999999,0.047444308619436978
10,0.95450000000000002,0.1284599428997899,0.89689440993788816,0.3592056424952812
11,0.96103896103896103,0.12617652736759821,0.98124999999999996,0.046909125407339047
12,0.96750000000000003,0.098932003762247409,0.99250000000000005,0.030789955743883012
13,0.96599999999999997,0.093275179481024678,0.93374999999999997,0.20794711624816423
14,0.96753246753246758,0.10170129007896173,0.93788819875776397,0.24656203237218141
15,0.96050000000000002,0.10161798942888708,0.98999999999999999,0.03771123243020931
16,0.97450000000000003,0.07643779220335091,0.97624999999999995,0.068031740743724714
17,0.97402597402597402,0.080945858307109139,0.90931677018633539,0.33996553474952973
18,0.97550000000000003,0.089216424978326353,0.99124999999999996,0.019051226867437522
